track,album-name,artist,release-date,isrc,all-time-rank,track-score,spotify-streams,spotify-playlist-count,spotify-playlist-reach,spotify-popularity,youtube-views,youtube-likes,tiktok-posts,tiktok-likes,tiktok-views,youtube-playlist-reach,apple-music-playlist-count,airplay-spins,siriusxm-spins,deezer-playlist-count,deezer-playlist-reach,amazon-playlist-count,pandora-streams,pandora-track-stations,soundcloud-streams,shazam-counts,tidal-popularity,explicit-track
Starships,Crave Volume 7,Nicki Minaj,1/1/2012,USCM51200060,"2,225",30.3,"1,125,407,888","189,848","71,457,898",73,"565,850,053","3,904,912","356,199","37,119,709","275,858,975","177,791,254",149,"115,729",206,53,"984,604",28,"393,300,354","774,097",,"10,373,004",,1
Calidad,Calidad,Grupo Firme,7/12/2022,QZDQH2257609,"2,238",30.3,"308,915,484","18,763","9,876,263",54,"272,892,088","834,521","479,753","21,899,443","364,940,104",,6,"6,556",,1,"4,392",,,,"592,654","972,534",,0
Watch Me,This Is A Challenge,Silento,12/16/2016,USAT21603705,"2,223",30.3,"387,389,363",20,"1,347",,"2,020,132,561","11,334,330",,,,"176,675,712",,,1,,,,,,,,,0
Send My Love (To Your New Lover),25,Adele,11/20/2015,GBBKS1500215,"2,234",30.3,"1,064,599,051","89,443","24,441,546",66,"997,993,764","6,246,988","66,520","38,824,727","261,382,201","1,677,484,200",116,"19,122",108,37,"295,349",18,"420,137,717","93,772",,"8,268,701",,0
Chakalitos,Chakalitos,Angi Fire,7/22/2023,USMH92305308,"2,229",30.3,"14,137,400","1,570","171,193",10,"221,422,238","1,754,240",,71,"1,172","4,356,346",,267,,,,,,,,"154,184",,0
No Hay Nadie Mï¿½,No Hay Nadie Mï¿½,Sebastian Yatra,1/26/2018,USUM71713890,"2,239",30.3,"546,219,103","43,372","12,705,005",69,"1,289,314,157","6,163,163","274,799","25,654,892","222,363,120","223,743,334",21,"13,300",102,31,"123,304",18,"18,098,372","4,619",,"24,199",,0
Rather Be (feat. Jess Glynne),I Cry When I Laugh,Clean Bandit,1/1/2013,GBAHS1300498,"2,236",30.3,"1,327,093,253","188,363","58,299,660",70,"875,568,512","5,009,883","1,072,310","146,302,323","1,196,196,511","528,574,920",250,"121,439",214,162,"968,778",78,"62,386,418","110,843","2,123,648","25,620,314",,0
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Witt Lowry,6/8/2018,USAT21802013,"2,232",30.3,"390,529,605","68,181","10,506,568",67,"388,438,653","6,747,169","4,480,319","1,314,071,004","15,189,209,474","133,226,735",17,"8,016",12,7,"9,478",4,"910,295","3,769",,"9,200,822",,1
Ramenez la coupe ï¿½ï¿½ la ma,Ramenez la coupe ï¿½ï¿½ la ma,Vegedream,7/17/2018,UKGD81800015,"2,233",30.3,"482,859,077","154,354","9,307,449",62,"550,746,505","4,627,573","671,494","224,089,888","3,084,440,795","3,048,497",58,"4,483",,30,"460,193",6,"260,981","1,078",,"4,684,186",,0
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,7/29/2022,QZAPK2000271,"2,237",30.3,"189,588,270","43,837","2,663,499",72,"87,680,985","700,043",190,"31,952","432,059","4,870,198",,2,,,,,"6,559,431","3,552","14,217,001","240,381",,1
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,7/27/2020,QZK6Q2049800,"2,230",30.3,"289,085,486","76,485","8,876,090",62,"247,178,404","3,983,154","1,939,369","289,578,955","2,184,568,318","86,473,112",4,10,,,,2,"3,362,791","11,273","264,657","4,423,775",,1
Baby Songs,Baby Lullaby - Relaxing Piano Baby Lullabies Baby Songs and Nursery Rhymes for Baby Sleep and Newborn Natural Sleep Aid,Baby Lullaby,10/23/2014,USA2P1472414,"2,227",30.3,"5,484,513",36,"9,217",27,"897,454,562","2,811,983",2,"6,990","35,885",,,,,,,,,,,,,0
Mï¿½ï¿½dchen auf dem P,Mï¿½ï¿½dchen auf dem P,Luca-Dante Spadafora,5/12/2023,CH7812350872,"2,226",30.3,"119,141,939","46,323","14,389,973",67,"23,993,631","167,659",58,"89,658","1,318,558","103,548,221",21,"2,297",,15,"212,114",13,,,"2,223,239","409,234",,0
Cuando Te Besï¿,Cuando Te Besï¿,Becky G,8/2/2018,USSD11800274,"2,240",30.3,"588,021,470","51,865","15,227,639",63,"1,114,556,086","5,855,578","118,917","6,274,016","58,539,891","114,202,446",20,"7,464",36,24,"221,478",18,"19,883,459","7,852",,"1,621,041",,0
"Lutt Putt Gaya (From ""Dunki"")","Lutt Putt Gaya (From ""Dunki"")",Pritam,11/22/2023,INS182303353,"2,228",30.3,"54,461,319","3,298","5,676,613",,"122,509,013","1,256,731",,,,"506,287,027",5,770,,,,13,,,,"121,292",,0
girl$,girl$,Dom Dolla,6/7/2024,USQX92401650,"2,235",30.3,"1,920,905",945,"44,490,548",,"78,608","3,629",,,,,33,276,2,22,"987,568",39,"32,222",31,"89,193","12,191",,0
Clout (feat. Cardi B),FATHER OF 4,Offset,2/22/2019,USUG11802308,"2,231",30.3,"306,221,125","61,432","15,468,892",58,"635,706,453","4,888,312","126,257","15,711,039","90,607,937","272,146,133",50,"15,637",102,24,"194,800",12,"76,691,389","37,017","25,647,174","2,066,390",,1
I love you,I love you,Dadju,12/8/2023,FR8FB2328300,"2,247",30.2,"70,592,513","10,432","9,086,026",63,"30,034,889","219,547",,,,"236,171,714",25,"25,849",,25,"16,463,650",24,"1,984",7,,"1,203,361",,0
Loucura,Amor e ï¿½ï¿,Borges,12/12/2023,BCM9A2300102,"2,248",30.2,"79,782,529","10,849","8,194,521",,"70,231,783","491,126",,,,"462,163,988",9,5,,18,"5,792,984",16,,,,,,1
Forget About Us,Forget About Us,Perrie,4/12/2024,GBARL2400078,"2,245",30.2,"16,171,953","1,439","18,871,474",,"6,223,280","200,833","9,253",,,"143,422,306",40,"24,806",,38,"2,359,911",41,"330,318",,"102,129","107,402",,0
One Last Time,My Everything,Ariana Grande,8/21/2014,USUM71409723,"2,243",30.2,"1,465,918,510","110,953","65,876,311",77,"1,101,895,606","9,106,812","74,689","39,669,684","285,511,671","484,923,295",102,"83,891",118,43,"356,866",13,"263,174,203","96,346","11,323,498","5,273,745",,0
Malas Decisiones,K23,Kenia OS,10/27/2022,MXF012200331,"2,246",30.2,"249,199,925","15,573","11,736,236",68,"141,829,637","1,346,158","1,093,900","310,175,951","3,326,289,021","35,896,326",21,"7,079",479,15,"100,850",4,"167,084",654,,"576,456",,0
Dos Mil 16,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214889,"2,249",30.2,"426,904,285","50,219","17,690,466",71,"198,252,709","1,323,047","241,013","89,404,506","679,567,159","20,200,537",15,355,,4,"120,297",9,"10,610,635","1,775",,"629,164",,0
La Vaca Lola,Las 20 Mejores Canciones Infantiles,Toy Cantando,6/10/2013,COA3C1500662,"2,250",30.2,"38,260,236","3,255","310,554",55,"2,809,354,638","7,825,584","22,366","1,533,921","72,165,422",,,8,,,,,,,,"4,506",,0
Termina Comigo Antes,Termina Comigo Antes,Gusttavo Lima,3/31/2022,BXBAL2200001,"2,241",30.2,"194,919,563","12,885","13,054,030",63,"459,414,543","1,879,854","60,675","4,714,394","61,427,214","3,136,649,155",19,"9,315",,62,"1,085,113",4,"17,963",,,"134,484",,0
Baarish,Baarish,Payal Dev,8/11/2020,INUM72000050,"2,244",30.2,"12,208,412","1,424","362,321",41,"135,529,803","1,794,516","5,941,101","17,311,643","278,475,456",,1,5,,,,,,,,"37,064",,0
ZITTI E BUONI,ZITTI E BUONI,Mï¿½ï¿½ne,3/3/2021,ITB002100112,"2,242",30.2,"475,549,122","94,637","9,975,524",69,"259,762,159","2,895,468","139,573","75,858,814","628,509,922","21,047,789",62,"17,041",,28,"566,398",42,"543,933","1,020",,"2,395,559",,1
Dijeron Que No La Iba Lograr,Dijeron Que No La Iba a Lograr,Chino Pacas,3/14/2023,USA2P2313930,"2,254",30.1,"241,174,958","23,146","7,025,185",43,"146,033,306","697,531",,,,54,9,36,11,1,72,2,"29,986,425","2,582",,"522,273",,0
Is It Love,Is It Love,Loreen,10/13/2023,SEUM72301218,"2,252",30.1,"68,785,555","7,360","8,210,301",,"16,708,048","243,108","187,211","1,802,595","63,753,450","999,638,074",26,"74,905",,31,"12,315,494",4,"34,080",36,,"677,013",,0
Feel It Still,Feel It Still,Portugal. The Man,3/2/2017,USAT21700437,"2,263",30.1,"1,303,452,422","204,110","65,716,191",74,"563,059,238","5,008,418","77,757","60,080,391","447,512,595","13,369,387",87,"96,294","1,230",219,"2,003,306",81,,,,,,0
Portobello Beach,Passport,Quiet as a Mouse,10/21/2022,GBMJG2221437,"2,255",30.1,,,,,"453,903,004","1,010,270",,,,,,2,,,,,,,,1,,0
MotorSport,MotorSport,Migos,10/27/2017,USUM71712002,"2,262",30.1,"590,983,645","89,159","24,300,466",62,"744,579,257","4,504,144","266,811","63,415,889","417,482,479","187,758,140",109,"19,462",27,23,"169,108",23,"243,221,290","135,099",,"3,894,893",,1
Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,6/2/2017,USUM71702220,"2,265",30.1,"635,393,773","56,371","12,074,505",59,"575,220,523","4,408,507","487,927","11,620,804","84,632,348","111,825,857",60,"135,173",522,11,"31,796",46,"420,836,751","208,908",,"4,213,886",,0
Nevada,Nevada,YoungBoy Never Broke Again,1/30/2021,USAT22103399,"2,251",30.1,"163,974,630","60,031","4,503,801",64,"109,858,521","915,546","20,233","5,083,710","48,854,928","122,293,460",23,264,2,2,"55,679",,"44,161,281","27,622","38,396,480",,,1
The Adults Are Talking,The New Abnormal,The Strokes,4/10/2020,USRC11902726,"2,264",30.1,"457,933,102","152,115","30,405,327",76,"161,335,622","1,716,915","186,563","88,889,806","521,061,584","65,074",29,"24,933",,28,"129,502",21,"10,975,089","6,534",,"1,670,342",,0
Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),Churrasquinho do Menos ï¿½ï¿½ Mais (Ao V,Grupo Menos ï¿½ï¿½ ,4/23/2020,USDY42060410,"2,260",30.1,"270,944,683","6,608","2,522,207",,"996,737,706","4,480,282",66,"6,369","102,989","63,527,580",,,,7,"22,899",,,,,,,0
Hips Don't Lie (feat. Wyclef Jean),Oral Fixation Vol. 2,Shakira,1/1/2005,USSM10600677,"2,257",30.1,"1,631,152,967","261,693","142,426,948",80,"1,663,636,127","9,345,192","2,393,712","306,451,930","2,939,466,349","1,850,350,995",261,"163,862",434,147,"3,150,258",84,"387,267,940","346,439",,"6,770,784",,0
Overdose,Overdose - Single,natori,9/7/2022,JPU902203154,"2,259",30.1,"191,425,175","26,630","3,407,532",62,"271,219,300","2,855,968","183,701","53,658,710","662,260,750","19,820,354",21,244,,,,,,,,"367,613",,0
Techno Cumbia (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402911,"2,256",30.1,"50,962,805",12,"74,974",,,,,,,,2,,,,,1,"33,951,456","27,028",,,,0
Tak Segampang Itu,Tak Segampang Itu,Anggi Marito,12/2/2022,IDUM72200281,"2,253",30.1,"415,357,981","14,918","7,489,575",74,"201,860,884","912,928","399,388","88,921,840","1,171,868,533",418,8,"4,463",,1,"2,405",,,,,"127,265",,0
Emotionally Scarred,My Turn,Lil Baby,2/28/2020,USUG12000034,"2,261",30.1,"289,652,584","93,481","10,151,445",63,"310,518,713","1,797,173","33,861","6,143,414","40,742,074","10,809,869",35,"82,296",123,3,"30,366",14,"158,335,863","49,964",,"2,007,348",,1
When It Rains It Pours,This One's for You,Luke Combs,6/2/2017,QZ4751600015,"2,258",30.1,"807,802,864","93,613","23,160,480",78,"576,510,087","2,093,903","29,070","5,193,789","42,065,642","675,794,766",55,"118,955",49,11,"29,415",24,"327,355,246","125,734","1,542,691","1,719,362",,0
If I Didn't Love You,If I Didn't Love You,Jason Aldean,7/23/2021,QMRSZ2101546,"2,268",30,"143,447,350","22,233","3,205,615",60,"95,029,099","693,003","2,017","1,558,730","15,893,357","591,874,403",2,"295,116",83,2,"39,829",,"205,296,427","27,410",,"991,870",,0
NO ME QUIERO CASAR,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364196,"2,269",30,"144,801,283","20,979","16,117,371",73,"33,000,813","284,943","1,380","750,523","7,437,994","37,948,816",18,"8,135",,4,"321,307",16,"4,129,629","1,305",,"538,315",,1
UNHEALTHY (feat. Shania Twain),UNHEALTHY (feat. Shania Twain),Anne-Marie,5/18/2023,GBAHS2300345,"2,274",30,"107,435,709","18,457","6,727,123",60,"18,349,123","218,523","7,316","5,194,441","79,827,003","183,272,059",52,"133,743",,22,"287,345",21,"350,335",118,"689,846","1,025,913",,0
ATORRANTE - con Los Palmeras,ATORRANTE - con Los Palmeras,Emanero,7/5/2023,ARP7V2300023,"2,280",30,"65,617,109","7,487","3,295,468",61,"189,591,521","578,345",291,"711,415","33,073,512","215,348,129",1,"4,559",,4,"252,063",11,,,,"101,460",,0
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",CAN YOU IMAGINE?,Elevation Worship,5/19/2023,USPJT2300015,"2,284",30,"79,621,215","31,102","3,889,566",70,"87,320,948","873,405",,,,"191,016,370",20,673,2,11,"246,651",18,"4,474,215","10,838",,"567,381",,0
greedy,greedy - Single,Tate McRae,9/15/2023,USRC12301975,"2,281",30,"1,256,101,755","3,984","2,453,761",,,,,,,,109,,,,,8,,,,,,0
El Mejor,El Mejor,Chayï¿½ï¿½n R,10/27/2023,TCAHK2398379,"2,282",30,"7,178,040","1,181","235,460",,"9,465,691","61,294","970,300","21,282,649","470,202,643",,,,,,,,,,,"156,906",,1
Take Me to Church,Take Me to Church EP,Hozier,9/13/2013,USSM11307291,"2,276",30,"2,544,489,950","113,315","30,950,638",74,"184,351,951","1,963,267","7,069","172,614,084","1,691,376,898","3,808,342",142,"2,168",,18,"17,163",30,"602,652,861","1,112,724",,,,0
Roses,Roses,The Chainsmokers,6/16/2015,USQX91500801,"2,270",30,"1,046,848,265","137,023","33,124,854",68,"585,020,723","3,442,407","273,486","55,726,548","405,625,969","51,232,888",129,"30,641",87,43,"173,923",16,"294,611,058","172,101","26,571,481","9,203,307",,0
Close Friends (Lil Baby & Gunna),Drip Harder,Lil Baby,10/4/2018,USUG11801853,"2,267",30,"428,009,373","99,524","11,666,867",65,"503,301,861","3,383,825","47,897","7,172,209","46,571,795","76,955,731",27,"47,467",86,4,"26,549",7,"193,294,414","159,045",,"2,437,123",,1
"0 Sentimientos (Remix) [feat. Baby Rasta, Noriel, Darkiel, Messiah & Lyan]",Chosen Few: New Generation,Boy Wonder CF,11/21/2023,BK4DA2319487,"2,272",30,"272,261,201",871,"379,289",,,,,,,,2,1,,,,,"67,028,949","47,571",,,,0
BEBï¿,BEBï¿,Camilo,11/25/2020,USSD12000562,"2,277",30,"401,104,048","42,742","14,190,262",66,"458,776,041","3,332,448","1,002,990","85,197,306","718,042,201","73,445,402",82,"26,472",,25,"361,819",36,"11,215,155","5,479",,"1,090,144",,0
Propuesta Indecente,Caliente! Latino Hitmix 2013,Romeo Santos,1/1/2013,USSD11300197,"2,266",30,"751,508,028","76,654","28,891,369",74,"2,243,582,425","6,525,279","110,257","23,003,530","240,862,996","361,024,153",46,"15,365",8,37,"458,762",36,,,,"4,633,986",,0
Palhaï¿½ï¿½a (Ao V,Palhaï¿½ï¿½a (Ao Vivo) - Si,Naiara Azevedo,1/12/2023,BX8WE2200062,"2,271",30,"149,801,910","10,235","8,902,883",58,"296,057,090","899,154",,,,"787,165,088",4,"1,846",,24,"167,705",9,,,,"103,032",,0
Atmosphere,Atmosphere,FISHER,8/11/2023,QZA742318982,"2,278",30,"105,178,211","40,300","55,773,870",70,"329,644","6,449","6,091","770,581","11,685,263","78,603",33,"4,543",358,17,"92,002",23,"47,299",253,,"582,149",,0
Eid,Eid,Mehmood J,6/24/2022,USANG2274868,"2,273",30,"10,762",5,29,4,"20,819,326","318,193","3,400,423","19,977,613","274,491,219",,,8,,,,,,,,"3,103",,0
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,6/15/2019,USCM51900318,"2,275",30,"970,219,741","180,650","36,876,067",70,"243,075,035","2,053,120","123,248","45,510,979","371,952,869","35,845,729",,"44,396",184,,,27,,,,,,1
BABY NUEVA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364191,"2,283",30,"118,835,954","23,373","9,125,370",,"29,487,901","386,863","40,400","4,048,330","37,952,552",,5,954,,,,3,"6,977,653","1,304",,"399,333",,1
ýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýý,ýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýý - Single,ýýýýýýýýýý ýýýýýýýý,12/8/2022,DGA082213263,"2,279",30,"468,162",114,"21,665",24,,,"2,500,000","5,971,244","183,524,720",,,,,,,,,,,"95,147",,0
Escapate Conmigo,Nacimiento,Wisin,1/19/2018,QZAPG1864732,"2,298",29.9,,,,,"1,719,584,760","5,092,330",,,,"190,032,781",,,,,,,,,,,,0
Lighter,Lighter (Extended Mix),Galantis,2/16/2024,USAT22400413,"2,295",29.9,"35,712,909","4,573","31,483,398",5,"1,679,600","30,410",,,,"23,503,476",29,"49,835",69,31,"1,270,197",15,"502,092",64,,"271,031",,0
"Halli Naatu (From ""Rrr"")","Halli Naatu (From ""Rrr"") - Single",Rahul Sipligunj,11/10/2021,INS182115577,"2,293",29.9,"72,962,855",169,"170,665",,"636,965,758","3,951,628",,,,"85,650,827",,5,,,,,,,,,,0
Happier,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700028,"2,287",29.9,"1,322,385,342","109,373","54,954,226",70,"696,425,510","4,649,149","1,289,662","34,964,865","223,959,183","137,582,931",37,"36,265",6,29,"310,000",27,"170,123,227","113,215",,,,0
Kill Em With Kindness,Revival (Deluxe),Selena Gomez,10/9/2015,USUM71513588,"2,290",29.9,"550,049,388","48,598","14,497,820",56,"592,341,655","4,553,103","8,126,848","61,193,582","489,745,782","193,313,797",53,"14,501",4,24,"81,398",11,"90,462,900","31,645",,"2,766,042",,0
Good Love,Good Love,Hannah Laing,5/12/2023,GBUM72304092,"2,296",29.9,"100,186,243","26,116","36,440,018",70,"20,691,770","124,812","10,300","1,602,940","28,216,441","7,827,526",41,"20,568",85,16,"329,760",27,,,"9,560,987","505,083",,0
Little Girl Gone,Little Girl Gone,CHINCHILLA,4/21/2023,GBGLW2300286,"2,297",29.9,"100,397,677","21,963","13,959,755",68,"44,530,380","526,851","855,579","97,764,564","975,465,555",,6,358,12,1,"79,184",,"4,469,706","6,951",,,,1
Ella Quiere Beber - Remix,Ella Quiere Beber (Remix),Anuel AA,11/2/2018,QM6P41842818,"2,299",29.9,"778,846,570","66,150","25,410,849",70,"785,898,158","2,771,037","24,500","1,838,702","18,692,923","132,331,823",37,"19,681",62,18,"279,961",36,"184,152,509","23,518",,"1,494,647",,0
Blicky,Blicky,Fresh X Reckless,1/11/2023,TCAGT2316203,"2,292",29.9,"19,617,254","6,378","749,928",40,"5,983,105","119,013","2,272,645","310,986,195","2,956,553,569","2,662,671",1,95,969,,,,"286,822","1,533",,,,1
Baby (Lil Baby feat. DaBaby),Baby,Quality Control,7/17/2019,USUG11900748,"2,294",29.9,"522,143,496","111,477","16,214,693",68,"212,806,984","1,853,709","55,471","10,916,015","125,604,010","5,932,267",41,197,40,13,"67,110",21,"265,495,093","180,815",,"1,797,781",,1
Hotel,Hotel,Montell Fish,9/16/2022,QZVBE2200009,"2,291",29.9,"296,674,882","56,660","27,811,906",74,"38,522,238","508,119","124,659","58,661,300","366,838,888","15,453",16,"1,045",11,8,"210,339",5,"2,352,924","3,822","5,655,239","924,914",,0
Mas Altas Que Bajadas,Nata Montana,Natanael Cano,6/30/2023,USWL12301031,"2,288",29.9,"157,476,564","15,069","7,363,178",71,"140,916,381","774,193","13,700","8,423,736","52,545,729",,11,2,,1,72,5,"2,563,987",412,"64,611","213,453",,1
Somewhere Only We Know,Somewhere Only We Know,Gustixa,9/5/2022,QZNWV2251985,"2,286",29.9,"53,532,212","9,646","1,321,681",43,"98,671,018","1,371,770","1,952,800","122,253,971","1,659,044,866",,1,110,,,,,"30,026",,,"1,190,146",,0
X1,Little Hair,MC Cabelinho,12/20/2021,QZTVM2103308,"2,285",29.9,"185,050,407","30,221","5,514,940",62,"389,574,452","2,043,151","542,800","23,727,816","249,329,094","23,545,375",10,62,,14,"367,281",5,,,,"198,749",,1
Baby Shark,Pinkfong Bebefinn (Pt. 1),Bebefinn,8/26/2022,QM6P42230294,"2,289",29.9,"1,731,282",162,"21,068",31,"462,509,288","1,209,603",,"3,430","172,700",,,3,,,,,,,,"4,206",,0
DISPARA ***,DISPARA ***,Nicki Nicole,5/17/2023,UYB282300010,"2,301",29.8,"182,184,068","23,852","8,214,976",66,"132,049,541","854,994",,,,"523,463,948",11,"5,313",,22,"441,318",12,"182,885",107,,"176,341",,1
Burn,Halcyon,Ellie Goulding,1/1/2012,GBUM71303482,"2,306",29.8,"784,334,383","104,998","30,818,474",68,"1,776,560,692","7,559,025","46,749","17,751,306","112,921,980","611,194,890",86,"119,409",118,48,"140,321",29,"363,423,596","116,092",,"12,172,997",,0
By Your Side,By Your Side,Rod Wave,11/22/2021,USQX92105590,"2,303",29.8,"164,804,108","40,909","4,353,138",60,"111,437,165","932,922","24,901","7,795,076","50,358,850","212,457,530",20,"27,123",168,5,"26,308",3,"25,392,031","22,335","25,401,080","569,269",,1
Very Sad,Very Sad,Enchan,11/23/2022,SGB502288016,"2,309",29.8,"1,426,122",284,"21,377",,"1,328,757","33,856","2,500,896","143,257,450","2,151,095,470",,,2,,1,"98,031",,,,,"314,385",,1
No Te Contaron Mal,No Te Contaron Mal,Christian Nodal,9/7/2018,MXUM71801874,"2,312",29.8,"492,542,256","37,141","12,874,966",68,"1,091,852,566","3,311,784","22,565","2,240,493","34,264,578","23,344,667",27,"6,829",261,22,"858,993",24,"62,313,926","27,510",,"1,316,575",,0
When We Were Young,25,Adele,11/20/2015,GBBKS1500217,"2,305",29.8,"1,284,096,603","117,365","41,710,598",71,"1,021,758,621","6,306,795","51,713","51,633,844","348,333,229","12,378,383",133,"6,508",7,36,"1,394,780",22,"281,756,710","77,682",,"5,077,728",,0
Miracle (Extended),Miracle (with Ellie Goulding) [Remixes],Calvin Harris,6/16/2023,GBARL2300301,"2,314",29.8,"57,151",92,"28,566",14,"57,477","1,150",,,,,,"257,509",,,,,"8,658",,"44,842",,,0
Zapateado Encabronado #3,Nuestra Historia de Voces Ediciï¿½ï¿½n de Oro 25 a,Alacranes Musical,3/22/2024,GBLFP2486472,"2,300",29.8,"12,495,358",5,17,,,,,,,,,,,,,,"16,357,353","46,235",,,,0
Ainï¿½ï¿½ï¿½t Tha,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300807,"2,302",29.8,"210,072,827","30,503","5,318,773",74,"35,281,929","221,683","54,106","6,277,486","92,174,906","91,240,010",8,"2,055",,,,2,"61,861,012","13,426","3,550,321","172,414",,1
I Am Your Gummy Bear (The Gummy Bear Song),Gummybear Song,Gummibï¿½,1/1/2007,USR3R0700073,"2,307",29.8,"104,073,182","11,904","1,660,833",57,"3,982,526,341","11,455,880","384,946","83,486,676","1,565,261,998","54,565,314",4,,,2,"3,494",3,,,"3,120,738","648,232",,0
Do It Again (feat. 2Rare),Do It Again (feat. 2Rare),NLE Choppa,10/7/2022,USWB12205833,"2,313",29.8,"155,142,115","65,297","6,721,980",60,"54,256,746","737,762","143,228","121,730,150","1,073,599,652","840,774",8,"1,558",158,5,"31,849",12,"8,586,595","9,434",,"1,008,825",,1
Te Felicito,"Unas Mï¿½ï¿½as y Otras Prestadas, Vo",Gerardo Coronel,11/11/2022,QZDQH2204268,"2,308",29.8,"136,999,598","2,515","1,614,193",57,"352,276,536","848,233",,,,"38,327,211",2,"4,630",,,,1,,,,"772,708",,0
Funny Song,Funny Song,Bruno Portinho Trilhas para filmes,3/7/2023,SGB502330766,"2,310",29.8,,3,10,2,,,"2,200,000","62,055,632","1,572,668,280",,,,,,,,,,,,,0
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401041,"2,304",29.8,"122,986,507","2,923","11,950,658",,"6,094,390","70,607",,"272,700","1,800,000",,25,236,,4,"2,012,467",49,"1,007,443","1,771",,"46,678",,1
Loading,Loading,Central Cee,10/22/2020,ZZOPM2003512,"2,311",29.8,"356,681,497","137,745","8,267,546",65,"204,509,339","2,198,210","62,042","21,340,597","200,676,951","687,625",26,"7,138",12,3,"7,612",7,"439,821","2,081",,"1,028,060",,1
Tek Tek (feat. MHD),Tek Tek (feat. MHD),DYSTINCT,5/11/2023,NL2BN2300036,"2,326",29.7,"69,208,147","30,635","5,622,603",59,"79,305,809","522,795","137,811","11,380,386","226,312,722",,28,"12,198",,10,"239,446",,"9,782",42,,"1,184,458",,0
Everyday Hustle,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402030,"2,319",29.7,"32,935,844","9,191","3,072,155",,"4,797,753","77,902",,,,,9,97,,,,7,"662,243",493,,"296,876",,1
Dos Besitos,Dos Besitos,La Joaqui,10/27/2022,ARACN2200010,"2,320",29.7,"100,335,960","18,928","3,742,291",56,"163,408,340","634,796","1,050,557","214,890,689","2,147,808,820","195,644,977",1,"2,867",,4,"28,838",,"15,137",,,"160,060",,0
Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,6/17/2022,DEE862200810,"2,318",29.7,"335,203,899","61,133","99,451,251",76,"22,524,199","241,700","9,193","17,617,670","262,461,997","1,754,376,767",92,"120,261",95,111,"2,069,650",53,"1,743,890",872,,"1,795,229",,0
No Me Conoce - Remix,No Me Conoce (Remix),Jhay Cortez,5/17/2019,USUM71908293,"2,322",29.7,"1,367,265,268","135,811","46,929,639",75,"174,911,891","749,591","103,451","12,539,244","109,739,416",11,118,"23,126",16,45,"1,959,690",9,"180,776,836","46,279",,"2,785,821",,0
ýýCýýmo Pasýý?,ýýCýýmo Pasýý?,Ela Taubert,2/14/2024,USUM72400711,"2,324",29.7,"61,288,751","3,662","17,901,827",,"41,942,760","443,004",,,,"17,589,313",10,"3,666",,15,"331,202",15,"73,018",166,,"610,292",,0
Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),Lil Dicky,3/15/2018,QMRSZ1800280,"2,321",29.7,"670,298,052","82,446","12,953,022",65,"822,191,175","6,783,630","228,686","19,209,732","160,522,923","258,233,426",,"8,248",6,13,"45,931",22,"78,879,564","196,937",,,,1
Still Rollin,Still Rollin,Shubh,5/19/2023,QM6P42332209,"2,325",29.7,"191,465,461","18,344","7,425,022",69,"126,428,962","1,236,685","211,500","7,326,210","144,465,879","795,121",21,,,1,"22,131",12,"94,543",158,,"267,764",,0
Safe And Sound,Capital Cities EP,Capital Cities,1/1/2012,USCA21203108,"2,317",29.7,"1,286,089,822","256,512","74,267,670",78,"291,434,533","3,222,924","226,012","94,442,871","774,957,680","322,090,946",118,"160,290",427,81,"172,564",42,"362,990,771","400,888",,"21,359,402",,0
Mal Hombre,Mal Hombre,Kim Loaiza,10/25/2023,USWL12302769,"2,323",29.7,"28,817,964","1,104","1,717,958",,"99,108,166","1,733,004","381,005","47,403,198","450,286,431","51,649,075",1,20,,2,"60,358",,"177,302",391,,"49,569",,0
Teeth,Teeth,5 Seconds of Summer,8/21/2019,USUG11902528,"2,315",29.7,"683,247,723","103,554","18,582,680",71,"322,965,834","5,220,826","252,245","60,889,240","561,046,941","21,501,456",62,"27,799",74,10,"551,258",19,"56,491,309","60,938","6,558,783","3,637,003",,0
